"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor4/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor5/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor6/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor7/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor8/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor9/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 20:51:47,,,494,,,,,,,,494
2026-08-11 20:51:47,,442,,,,,,,,442,
2026-08-11 20:51:47,535,,282,,,,,,,,282
2026-08-11 20:51:48,,458,,,,,,,,458,
2026-08-11 20:51:48,,,314,,,,,,,,314
2026-08-11 20:51:49,540,,,,,,,,,,
2026-08-11 20:51:49,,,,1088,,,,,,,
2026-08-11 20:51:49,,,,254,,,,,,,
2026-08-11 20:51:49,,369,,,,,,,,369,
2026-08-11 20:51:49,439,,241,,,,,,,,241
2026-08-11 20:51:50,,387,,379,,,,,,387,
2026-08-11 20:51:50,463,,280,,,,,,,,280
2026-08-11 20:51:51,,365,,380,,,,,,365,
2026-08-11 20:51:51,437,,273,,,,,,,,273
2026-08-11 20:51:52,,,,497,,,,,,,
2026-08-11 20:51:52,,454,379,,,,,,,454,379
2026-08-11 20:51:53,528,,,,,,,,,,
2026-08-11 20:51:53,,,,396,,,,,,,
2026-08-11 20:51:53,,363,298,,,,,,,363,298
2026-08-11 20:51:54,553,,,,,,,,,,
2026-08-11 20:51:54,,481,,,,,,,,481,
2026-08-11 20:51:55,545,,,731,,,,,,,
2026-08-11 20:51:55,,,636,,,,,,,,636
2026-08-11 20:51:56,,,351,,,,,,,,351
2026-08-11 20:51:56,,,,800,,,,,,,
2026-08-11 20:51:56,889,851,,,,,,,,851,
2026-08-11 20:51:57,,,321,761,,,,,,,321
2026-08-11 20:51:57,,771,,,,,,,,771,
2026-08-11 20:51:57,815,,,,,,,,,,
2026-08-11 20:51:57,,,231,,,,,,,,231
2026-08-11 20:51:58,,,,669,,,,,,,
2026-08-11 20:51:58,,701,,,,,,,,701,
2026-08-11 20:51:58,690,,,,,,,,,,
2026-08-11 20:51:58,,,225,,,,,,,,225
2026-08-11 20:51:59,,,,647,,,,,,,
2026-08-11 20:51:59,567,664,,,,,,,,664,
2026-08-11 20:51:59,,,330,,,,,,,,330
2026-08-11 20:52:00,,634,,622,,,,,,634,
2026-08-11 20:52:00,543,,,,,,,,,,
2026-08-11 20:52:01,,,354,622,,,,,,,354
2026-08-11 20:52:01,545,623,,,,,,,,623,
2026-08-11 20:52:01,,,255,,,,,,,,255
2026-08-11 20:52:02,,,,562,,,,,,,
2026-08-11 20:52:02,,598,,,,,,,,598,
2026-08-11 20:52:02,544,,,,,,,,,,
2026-08-11 20:52:02,,,226,,,,,,,,226
2026-08-11 20:52:03,,,,574,,,,,,,
2026-08-11 20:52:03,,620,,,,,,,,620,
2026-08-11 20:52:03,541,,,,,,,,,,
2026-08-11 20:52:03,,,228,,,,,,,,228
2026-08-11 20:52:04,,,,551,,,,,,,
2026-08-11 20:52:04,,608,,,,,,,,608,
2026-08-11 20:52:04,544,,,,,,,,,,
2026-08-11 20:52:04,,,235,,,,,,,,235
2026-08-11 20:52:05,,650,,576,,,,,,650,
2026-08-11 20:52:05,545,,,,,,,,,,
2026-08-11 20:52:05,,,247,,,,,,,,247
2026-08-11 20:52:06,,534,,652,,,,,,534,
2026-08-11 20:52:06,545,,,,,,,,,,
2026-08-11 20:52:06,,,249,,,,,,,,249
2026-08-11 20:52:07,,559,,659,,,,,,559,
2026-08-11 20:52:07,543,,,,,,,,,,
2026-08-11 20:52:07,,,251,,,,,,,,251
2026-08-11 20:52:08,,547,,,,,,,,547,
2026-08-11 20:52:08,,,,744,,,,,,,
2026-08-11 20:52:08,547,,,,,,,,,,
2026-08-11 20:52:08,,,241,,,,,,,,241
2026-08-11 20:52:09,,534,,,,,,,,534,
2026-08-11 20:52:09,,,,682,,,,,,,
2026-08-11 20:52:09,,,,,1707,,,,,,
2026-08-11 20:52:09,700,,,,,,,,,,
2026-08-11 20:52:10,,,315,,,,,,,,315
2026-08-11 20:52:10,,534,,680,,,,,,534,
2026-08-11 20:52:10,,,,,1738,,,,,,
2026-08-11 20:52:10,697,,,,,,,,,,
2026-08-11 20:52:11,,,347,,,,,,,,347
2026-08-11 20:52:11,,525,,,,,,,,525,
2026-08-11 20:52:11,,,,633,1732,,,,,,
2026-08-11 20:52:11,656,,,,,,,,,,
2026-08-11 20:52:12,,,352,,,,,,,,352
2026-08-11 20:52:12,,,,,1281,,,,,,
2026-08-11 20:52:12,,606,,,,,,,,606,
2026-08-11 20:52:12,,,,704,,,,,,,
2026-08-11 20:52:12,539,,,,,,,,,,
2026-08-11 20:52:13,,,,,965,,,,,,
2026-08-11 20:52:13,,,428,,,,,,,,428
2026-08-11 20:52:13,,543,,,,,,,,543,
2026-08-11 20:52:13,,,,,566,,,,,,
2026-08-11 20:52:13,543,,,,,,,,,,
2026-08-11 20:52:14,,,237,,,,,,,,237
2026-08-11 20:52:14,,524,,587,,,,,,524,
