2026-08-12T01:56:05,flex-tig-stack-telegraf-1,33.00%,90.04MiB / 7.62GiB
2026-08-12T01:56:05,flex-tig-stack-grafana-1,0.08%,82.46MiB / 7.62GiB
2026-08-12T01:56:05,flex-tig-stack-influxdb-1,15.75%,134.9MiB / 7.62GiB
2026-08-12T01:56:11,flex-tig-stack-telegraf-1,5.89%,91.83MiB / 7.62GiB
2026-08-12T01:56:12,flex-tig-stack-grafana-1,0.05%,82.46MiB / 7.62GiB
2026-08-12T01:56:12,flex-tig-stack-influxdb-1,7.36%,164.7MiB / 7.62GiB
2026-08-12T01:56:19,flex-tig-stack-telegraf-1,6.56%,89.08MiB / 7.62GiB
2026-08-12T01:56:19,flex-tig-stack-grafana-1,0.04%,82.46MiB / 7.62GiB
2026-08-12T01:56:19,flex-tig-stack-influxdb-1,7.30%,181.4MiB / 7.62GiB
2026-08-12T01:56:27,flex-tig-stack-telegraf-1,2.15%,89.06MiB / 7.62GiB
2026-08-12T01:56:27,flex-tig-stack-grafana-1,0.09%,82.46MiB / 7.62GiB
2026-08-12T01:56:27,flex-tig-stack-influxdb-1,1.91%,188.4MiB / 7.62GiB
2026-08-12T01:56:35,flex-tig-stack-telegraf-1,0.12%,88.82MiB / 7.62GiB
2026-08-12T01:56:35,flex-tig-stack-grafana-1,0.04%,82.46MiB / 7.62GiB
2026-08-12T01:56:35,flex-tig-stack-influxdb-1,0.05%,192.1MiB / 7.62GiB
2026-08-12T01:56:43,flex-tig-stack-telegraf-1,0.09%,88.82MiB / 7.62GiB
2026-08-12T01:56:43,flex-tig-stack-grafana-1,0.04%,82.45MiB / 7.62GiB
2026-08-12T01:56:43,flex-tig-stack-influxdb-1,0.07%,192.1MiB / 7.62GiB
