timestamp,device,cpu_percent,rss_mb
2026-08-11 20:55:23,Motor6,0.6,261.3
2026-08-11 20:55:23,Motor9,0.3,261.1
2026-08-11 20:55:28,Motor3,0.3,261.0
2026-08-11 20:55:28,Motor6,0.9,261.3
2026-08-11 20:55:28,Motor9,0.3,261.1
2026-08-11 20:55:33,Motor3,0.9,261.0
2026-08-11 20:55:33,Motor6,17.3,261.5
2026-08-11 20:55:33,Motor9,0.3,261.1
2026-08-11 20:55:38,Motor3,0.6,261.0
2026-08-11 20:55:38,Motor6,0.6,261.5
2026-08-11 20:55:38,Motor9,0.3,261.1
2026-08-11 20:55:43,Motor3,0.6,261.0
2026-08-11 20:55:43,Motor6,0.3,261.5
2026-08-11 20:55:43,Motor9,0.6,261.1
2026-08-11 20:55:48,Motor3,0.3,261.0
2026-08-11 20:55:48,Motor6,0.6,261.5
2026-08-11 20:55:48,Motor9,0.6,261.1
2026-08-11 20:55:53,Motor3,0.3,261.0
2026-08-11 20:55:53,Motor6,0.3,261.5
2026-08-11 20:55:53,Motor9,0.6,261.1
2026-08-11 20:55:58,Motor3,0.3,261.0
2026-08-11 20:55:58,Motor6,0.6,261.5
2026-08-11 20:55:58,Motor9,0.6,261.1
2026-08-11 20:56:03,Motor3,0.6,261.0
2026-08-11 20:56:03,Motor6,0.6,261.5
2026-08-11 20:56:03,Motor9,0.6,261.1
2026-08-11 20:56:08,Motor3,0.6,261.0
2026-08-11 20:56:08,Motor6,0.6,261.5
2026-08-11 20:56:08,Motor9,1.2,261.1
2026-08-11 20:56:13,Motor3,0.6,261.0
2026-08-11 20:56:13,Motor6,0.6,261.5
2026-08-11 20:56:13,Motor9,0.3,261.1
2026-08-11 20:56:18,Motor3,0.6,261.2
2026-08-11 20:56:18,Motor6,0.6,261.5
2026-08-11 20:56:18,Motor9,0.9,261.1
2026-08-11 20:56:23,Motor3,0.6,261.1
2026-08-11 20:56:23,Motor6,0.6,261.5
2026-08-11 20:56:23,Motor9,0.6,261.1
2026-08-11 20:56:28,Motor3,0.6,261.1
2026-08-11 20:56:28,Motor6,0.3,261.5
2026-08-11 20:56:28,Motor9,0.6,261.1
