"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 07:28:18,352,525,
2026-08-11 07:28:19,,528,
2026-08-11 07:28:19,372,,
2026-08-11 07:28:20,,506,
2026-08-11 07:28:20,383,,
2026-08-11 07:28:21,416,636,
2026-08-11 07:28:22,,513,
2026-08-11 07:28:22,374,,
2026-08-11 07:28:23,,527,
2026-08-11 07:28:24,375,,
2026-08-11 07:28:24,,506,
2026-08-11 07:28:25,352,,
2026-08-11 07:28:25,,538,
2026-08-11 07:28:26,374,,
2026-08-11 07:28:26,,512,
2026-08-11 07:28:27,380,,
2026-08-11 07:28:28,,559,
2026-08-11 07:28:28,436,,
2026-08-11 07:28:29,,508,
2026-08-11 07:28:29,418,,
2026-08-11 07:28:30,,553,
2026-08-11 07:28:30,448,,
2026-08-11 07:28:31,,509,
2026-08-11 07:28:31,364,,
2026-08-11 07:28:32,394,540,
2026-08-11 07:28:33,393,525,
2026-08-11 07:28:34,,575,
2026-08-11 07:28:34,457,,
2026-08-11 07:28:35,,519,
2026-08-11 07:28:35,409,,
2026-08-11 07:28:36,422,520,
2026-08-11 07:28:37,425,509,
2026-08-11 07:28:38,,527,
2026-08-11 07:28:38,449,,
2026-08-11 07:28:39,,516,
2026-08-11 07:28:39,440,,
2026-08-11 07:28:40,435,546,
2026-08-11 07:28:41,,519,
2026-08-11 07:28:41,488,,
2026-08-11 07:28:42,,563,
2026-08-11 07:28:43,534,,
2026-08-11 07:28:43,,532,
2026-08-11 07:28:44,511,,
2026-08-11 07:28:44,,574,
2026-08-11 07:28:45,509,,
2026-08-11 07:28:45,,,1154
2026-08-11 07:28:45,,430,431
2026-08-11 07:28:45,440,,
2026-08-11 07:28:46,,,221
2026-08-11 07:28:46,418,447,
2026-08-11 07:28:47,,,314
2026-08-11 07:28:47,,517,
2026-08-11 07:28:48,491,,
2026-08-11 07:28:48,,,223
2026-08-11 07:28:49,531,545,
2026-08-11 07:28:49,,,224
2026-08-11 07:28:49,,422,
2026-08-11 07:28:50,420,,
2026-08-11 07:28:50,,,223
2026-08-11 07:28:51,531,567,
2026-08-11 07:28:51,,,223
2026-08-11 07:28:52,,536,
2026-08-11 07:28:52,,,223
2026-08-11 07:28:53,528,,
2026-08-11 07:28:53,,552,282
2026-08-11 07:28:54,544,,
2026-08-11 07:28:54,,555,
2026-08-11 07:28:54,,,315
2026-08-11 07:28:55,556,,
2026-08-11 07:28:55,,630,
2026-08-11 07:28:55,,,482
2026-08-11 07:28:56,510,,
2026-08-11 07:28:56,,595,
2026-08-11 07:28:56,,,538
2026-08-11 07:28:57,,,323
2026-08-11 07:28:57,,740,
2026-08-11 07:28:58,,615,316
2026-08-11 07:28:58,1910,,
2026-08-11 07:28:59,1334,,
2026-08-11 07:28:59,,,238
2026-08-11 07:28:59,634,,
2026-08-11 07:28:59,,635,
2026-08-11 07:29:00,676,,
2026-08-11 07:29:00,,673,639
2026-08-11 07:29:01,,,346
2026-08-11 07:29:01,803,599,
2026-08-11 07:29:02,584,,288
2026-08-11 07:29:02,,638,
2026-08-11 07:29:03,,507,318
2026-08-11 07:29:03,705,,
2026-08-11 07:29:04,529,,299
2026-08-11 07:29:04,,556,
2026-08-11 07:29:05,,,309
2026-08-11 07:29:05,711,482,
2026-08-11 07:29:06,,,337
2026-08-11 07:29:06,501,499,
2026-08-11 07:29:07,,,317
2026-08-11 07:29:07,,468,
2026-08-11 07:29:08,714,,
2026-08-11 07:29:08,,,316
2026-08-11 07:29:08,510,,
2026-08-11 07:29:09,,573,
2026-08-11 07:29:09,,,314
2026-08-11 07:29:10,,432,
2026-08-11 07:29:10,791,,
2026-08-11 07:29:10,,,221
2026-08-11 07:29:11,455,493,
2026-08-11 07:29:11,,,223
2026-08-11 07:29:12,,447,
2026-08-11 07:29:12,784,,
2026-08-11 07:29:12,,,222
2026-08-11 07:29:12,433,,
2026-08-11 07:29:13,,427,
2026-08-11 07:29:13,,,218
2026-08-11 07:29:14,,443,
2026-08-11 07:29:14,653,,
2026-08-11 07:29:14,,,221
2026-08-11 07:29:15,474,,
2026-08-11 07:29:15,,505,
2026-08-11 07:29:15,,,221
2026-08-11 07:29:16,,440,
2026-08-11 07:29:16,633,,
2026-08-11 07:29:16,,,218
2026-08-11 07:29:17,436,,
2026-08-11 07:29:17,,450,
2026-08-11 07:29:17,,,224
2026-08-11 07:29:18,,524,
2026-08-11 07:29:18,747,,
2026-08-11 07:29:18,,,223
2026-08-11 07:29:19,436,447,
2026-08-11 07:29:19,,,247
2026-08-11 07:29:20,,637,
2026-08-11 07:29:20,854,,
2026-08-11 07:29:20,,,358
2026-08-11 07:29:21,417,432,
2026-08-11 07:29:21,,,222
2026-08-11 07:29:22,,539,
2026-08-11 07:29:22,733,,
2026-08-11 07:29:22,,,354
2026-08-11 07:29:23,521,,
2026-08-11 07:29:23,,641,
2026-08-11 07:29:23,,,416
2026-08-11 07:29:24,,529,
2026-08-11 07:29:24,773,,
2026-08-11 07:29:25,,,477
2026-08-11 07:29:25,532,,
2026-08-11 07:29:25,,678,
2026-08-11 07:29:26,,,485
2026-08-11 07:29:26,702,528,
2026-08-11 07:29:26,,,420
2026-08-11 07:29:27,543,580,
2026-08-11 07:29:27,,,386
2026-08-11 07:29:28,,543,
2026-08-11 07:29:28,,,387
2026-08-11 07:29:29,854,,
2026-08-11 07:29:29,547,,
2026-08-11 07:29:29,,577,463
2026-08-11 07:29:30,,599,310
2026-08-11 07:29:31,835,,
2026-08-11 07:29:31,532,,410
2026-08-11 07:29:32,,701,
2026-08-11 07:29:32,,538,307
2026-08-11 07:29:33,717,,
2026-08-11 07:29:33,562,,295
2026-08-11 07:29:34,,626,
