flex-tig-stack-telegraf-1,7.98%,80.87MiB / 7.62GiB
flex-tig-stack-grafana-1,4.35%,49.17MiB / 7.62GiB
flex-tig-stack-influxdb-1,12.59%,200.8MiB / 7.62GiB
flex-tig-stack-telegraf-1,4.71%,81.08MiB / 7.62GiB
flex-tig-stack-grafana-1,0.05%,49MiB / 7.62GiB
flex-tig-stack-influxdb-1,4.89%,130.1MiB / 7.62GiB
flex-tig-stack-telegraf-1,8.31%,80.3MiB / 7.62GiB
flex-tig-stack-grafana-1,5.39%,49.9MiB / 7.62GiB
flex-tig-stack-influxdb-1,5.56%,143.1MiB / 7.62GiB
flex-tig-stack-telegraf-1,1.93%,80.5MiB / 7.62GiB
flex-tig-stack-grafana-1,0.06%,49.81MiB / 7.62GiB
flex-tig-stack-influxdb-1,1.95%,160.2MiB / 7.62GiB
flex-tig-stack-telegraf-1,8.26%,80.85MiB / 7.62GiB
flex-tig-stack-grafana-1,0.04%,49.58MiB / 7.62GiB
flex-tig-stack-influxdb-1,6.08%,176.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,8.60%,80.31MiB / 7.62GiB
flex-tig-stack-grafana-1,0.07%,49.58MiB / 7.62GiB
flex-tig-stack-influxdb-1,4.67%,191.9MiB / 7.62GiB
flex-tig-stack-telegraf-1,12.81%,80.75MiB / 7.62GiB
flex-tig-stack-grafana-1,0.05%,49.58MiB / 7.62GiB
flex-tig-stack-influxdb-1,5.63%,214.4MiB / 7.62GiB
flex-tig-stack-telegraf-1,10.35%,80.68MiB / 7.62GiB
flex-tig-stack-grafana-1,9.31%,49.04MiB / 7.62GiB
flex-tig-stack-influxdb-1,19.38%,143.4MiB / 7.62GiB
flex-tig-stack-telegraf-1,12.50%,80.12MiB / 7.62GiB
flex-tig-stack-grafana-1,0.03%,48.93MiB / 7.62GiB
flex-tig-stack-influxdb-1,10.20%,163.2MiB / 7.62GiB
flex-tig-stack-telegraf-1,10.53%,80.46MiB / 7.62GiB
flex-tig-stack-grafana-1,8.56%,49.77MiB / 7.62GiB
flex-tig-stack-influxdb-1,4.93%,182.4MiB / 7.62GiB
flex-tig-stack-telegraf-1,8.66%,80.48MiB / 7.62GiB
flex-tig-stack-grafana-1,0.04%,50.09MiB / 7.62GiB
flex-tig-stack-influxdb-1,6.68%,207.5MiB / 7.62GiB
flex-tig-stack-telegraf-1,5.00%,80.3MiB / 7.62GiB
flex-tig-stack-grafana-1,0.44%,50.33MiB / 7.62GiB
flex-tig-stack-influxdb-1,6.42%,218.5MiB / 7.62GiB
flex-tig-stack-telegraf-1,7.58%,81.74MiB / 7.62GiB
flex-tig-stack-grafana-1,0.04%,50.3MiB / 7.62GiB
flex-tig-stack-influxdb-1,6.82%,207MiB / 7.62GiB
flex-tig-stack-telegraf-1,10.19%,81.97MiB / 7.62GiB
flex-tig-stack-grafana-1,0.06%,50.3MiB / 7.62GiB
flex-tig-stack-influxdb-1,7.37%,146.6MiB / 7.62GiB
