timestamp,cpu_percent,rss_mb
2026-08-11 07:57:11,6.6,333.6
2026-08-11 07:57:16,6.6,333.6
2026-08-11 07:57:21,6.2,333.6
2026-08-11 07:57:26,6.2,333.6
2026-08-11 07:57:31,6.8,333.6
2026-08-11 07:57:36,6.8,333.6
2026-08-11 07:57:41,7.2,333.6
2026-08-11 07:57:46,6.4,333.6
2026-08-11 07:57:51,5.8,333.6
2026-08-11 07:57:56,7.6,333.6
2026-08-11 07:58:01,7.2,333.6
2026-08-11 07:58:06,6.6,333.6
2026-08-11 07:58:11,6.0,333.6
2026-08-11 07:58:16,6.6,333.6
2026-08-11 07:58:21,6.6,333.6
2026-08-11 07:58:26,7.4,333.6
2026-08-11 07:58:31,86.8,333.6
2026-08-11 07:58:36,14.2,381.2
2026-08-11 07:58:41,5.8,381.2
2026-08-11 07:58:46,6.4,381.2
2026-08-11 07:58:51,6.0,381.2
2026-08-11 07:58:56,7.6,381.2
2026-08-11 07:59:01,7.6,381.2
2026-08-11 07:59:06,6.8,381.2
2026-08-11 07:59:11,5.4,381.2
2026-08-11 07:59:16,6.4,381.2
2026-08-11 07:59:21,6.4,381.2
2026-08-11 07:59:26,7.2,381.2
2026-08-11 07:59:31,7.2,381.2
2026-08-11 07:59:36,5.4,381.2
2026-08-11 07:59:41,6.0,381.2
2026-08-11 07:59:46,7.4,381.2
2026-08-11 07:59:51,7.0,381.2
2026-08-11 07:59:56,6.6,381.2
2026-08-11 08:00:01,6.2,381.2
2026-08-11 08:00:06,6.8,381.2
2026-08-11 08:00:11,7.0,381.2
2026-08-11 08:00:16,7.6,381.2
2026-08-11 08:00:21,7.6,381.2
2026-08-11 08:00:26,5.2,381.2
2026-08-11 08:00:31,7.0,381.2
2026-08-11 08:00:36,7.6,381.2
2026-08-11 08:00:41,7.4,381.2
2026-08-11 08:00:46,7.6,381.2
2026-08-11 08:00:51,5.0,381.2
2026-08-11 08:00:56,7.2,381.2
2026-08-11 08:01:01,7.4,381.2
2026-08-11 08:01:06,6.6,381.2
2026-08-11 08:01:11,6.6,381.2
2026-08-11 08:01:16,5.2,381.2
2026-08-11 08:01:21,7.2,381.2
2026-08-11 08:01:26,7.2,381.2
2026-08-11 08:01:31,6.4,381.2
2026-08-11 08:01:36,7.2,381.2
2026-08-11 08:01:41,41.4,381.2
2026-08-11 08:01:46,62.6,333.8
2026-08-11 08:01:51,3.2,333.8
2026-08-11 08:01:56,7.4,333.8
2026-08-11 08:02:01,7.0,333.8
2026-08-11 08:02:06,6.8,333.8
2026-08-11 08:02:11,6.2,333.8
2026-08-11 08:02:16,6.2,333.8
2026-08-11 08:02:21,6.2,333.8
2026-08-11 08:02:26,7.2,333.8
2026-08-11 08:02:31,7.2,333.8
2026-08-11 08:02:36,5.6,333.8
2026-08-11 08:02:41,5.8,333.8
2026-08-11 08:02:46,6.6,333.8
2026-08-11 08:02:51,7.0,333.8
2026-08-11 08:02:56,7.4,333.8
2026-08-11 08:03:01,5.4,333.8
2026-08-11 08:03:06,6.6,333.8
2026-08-11 08:03:11,6.4,333.8
2026-08-11 08:03:16,6.4,333.8
2026-08-11 08:03:21,6.4,333.8
2026-08-11 08:03:26,5.2,333.8
2026-08-11 08:03:31,5.4,333.8
2026-08-11 08:03:36,7.4,333.8
2026-08-11 08:03:41,6.4,333.8
2026-08-11 08:03:46,7.4,333.8
2026-08-11 08:03:51,7.4,333.8
2026-08-11 08:03:56,6.0,333.8
2026-08-11 08:04:02,7.0,333.8
2026-08-11 08:04:07,6.6,333.8
2026-08-11 08:04:12,7.4,333.8
2026-08-11 08:04:17,5.6,333.8
2026-08-11 08:04:22,6.4,333.8
2026-08-11 08:04:27,6.4,333.8
2026-08-11 08:04:32,6.4,333.8
2026-08-11 08:04:37,7.4,333.8
2026-08-11 08:04:42,5.6,333.8
2026-08-11 08:04:47,6.4,333.8
2026-08-11 08:04:52,7.6,333.8
2026-08-11 08:04:57,90.2,381.2
2026-08-11 08:05:02,12.8,381.3
2026-08-11 08:05:07,4.8,381.3
2026-08-11 08:05:12,7.4,381.3
2026-08-11 08:05:17,5.2,381.3
2026-08-11 08:05:22,6.8,381.3
2026-08-11 08:05:27,7.2,381.3
2026-08-11 08:05:32,6.4,381.3
2026-08-11 08:05:37,7.4,381.3
2026-08-11 08:05:42,6.2,381.3
